PSAP ID,PSAP Name,County,City,State,Zip,Text to TTY,Web Browser,DirectIP,RTT,Other
3300,Westbrook Police Department,Cumberland,Augusta,ME,04333-0018,,,1,,
3297,Washington R C C ,Washington,Augusta,ME,04333-0018,,,1,,
3291,Somerset R C C ,Somerset,Augusta,ME,04333-0018,,,1,,
3288,Sanford Police Department,York,Augusta,ME,04333-0018,,,1,,
3287,Sagadahoc R C C,Sagadahoc,Augusta,ME,04333-0018,,,1,,
3283,Portland Police Department,Cumberland,Augusta,ME,04333-0018,,,1,,
3282,Piscataquis R C C ,Piscataquis,Augusta,ME,04333-0018,,,1,,
3280,Penobscot R C C ,Penobscot,Augusta,ME,04333-0018,,,1,,
3279,Oxford R C C ,Oxford,Augusta,ME,04333-0018,,,1,,
3264,Lincoln R C C ,Lincoln,Augusta,ME,04333-0018,,,1,,
3262,Knox R C C,Knox,Augusta,ME,04333-0018,,,1,,
3253,Franklin R C C,Franklin,Augusta,ME,04333-0018,,,1,,
3270,D P S Houlton,Aroostook,Augusta,ME,04333-0018,,,1,,
3251,Cumberland R C C ,Cumberland,Augusta,ME,04333-0018,,,1,,
3242,Bangor Police Department,Penobscot,Augusta,ME,04333-0018,,,1,,
3240,Androscoggin R C C,Androscoggin,Augusta,ME,04333-0018,,,1,,
3248,Brunswick PD,Cumberland,Augusta,ME,04333-0018,,,1,,
3246,Biddenford PD,York,Augusta,ME,04333-0018,,,1,,
588,San Francisco Department of Emergency Management,San Francisco,San Francisco,CA,94102,,,1,,
1679,Volusia County Sheriff's Office,Volusia,Daytona Beach ,FL,32124,,,1,,
8274,Garvin County E911,Garvin,Pauls Valley,OK,73075,,1,,,
976,Solano County Sheriff,Solano,Fairfield,CA,94533,,1,,,
935,San Jose Police/Fire Communications,Santa Clara,San Jose,CA,95110,,1,,,
907,Sacramento Fire Department,Sacramento,Hacienda Heights,CA,91745,,1,,,
7123,Fairfax County Department of Public Safety Communications,Fairfax,Fairfax,VA,22030,,,1,,
7101,Charlottesville-UVA-Alemarle County Emergency Communication Center,Charlottesville City,Charlottsville,VA,22903,,,1,,
6791,Nacogdoches Hospital District EMS,Nacogdoches,Jasper,TX,75951,,,1,,
6884,San Jacinto County Sheriff's Office,San Jacinto,Jasper,TX,75951,,,1,,
6899,Shelby County Sheriff's Office,Shelby,Jasper,TX,75951,,,1,,
6792,"Nacogdoches Police Department
Consolidated Communications Center",Nacogdoches,Jasper,TX,75951,,,1,,
788,Livingston Police Department,Merced,Livingston,CA,95334,,,1,,
1632,Plantation Police,Broward,Ft. Lauderdale,FL,33301,,,1,,
6952,Tyler County Sheriff's Office,Tyler,Jasper,TX,75951,,,1,,
7316,Multi Agency Communications Center (MACC),Grant,Moses Lake,WA,98837,,,1,,
